,fatigue
2024-08-19 15:54:13.610539,0.0
2024-08-19 15:54:20.214084,0.0
2024-08-19 15:54:27.975400,0.5
2024-08-19 15:54:34.484910,0.5
2024-08-19 15:54:40.932839,1.0
2024-08-19 15:54:47.908987,2.0
2024-08-19 15:54:55.787917,2.5
2024-08-19 15:55:02.408917,3.0
2024-08-19 15:55:09.515722,3.0
2024-08-19 15:55:10.485049,3.5
2024-08-19 15:55:13.494117,4.0
2024-08-19 15:55:21.256030,4.5
2024-08-19 15:55:31.680520,4.5
2024-08-19 15:55:41.781888,4.5
2024-08-19 15:55:49.206068,4.5
2024-08-19 15:55:57.331883,4.5
2024-08-19 15:56:04.314661,4.5
2024-08-19 15:56:11.034460,4.5
2024-08-19 15:56:18.230660,5.0
2024-08-19 15:56:26.615706,5.0
2024-08-19 15:56:39.652088,5.5
2024-08-19 15:56:47.336346,5.5
2024-08-19 15:56:54.396179,6.0
2024-08-19 15:57:07.823132,6.0
2024-08-19 15:57:20.828477,5.0
2024-08-19 15:57:35.601622,5.0
2024-08-19 15:58:07.820458,6.0
2024-08-19 15:58:41.259805,5.0
2024-08-19 15:59:05.147248,6.0
