,fatigue
2024-08-19 13:13:44.784317,0.0
2024-08-19 13:14:03.557339,0.5
2024-08-19 13:14:15.754870,0.5
2024-08-19 13:14:24.985767,1.5
2024-08-19 13:14:36.129030,2.5
2024-08-19 13:14:47.134279,3.0
2024-08-19 13:14:57.430708,4.0
2024-08-19 13:15:07.182527,4.5
2024-08-19 13:15:16.075449,5.0
2024-08-19 13:15:25.065253,5.0
2024-08-19 13:15:34.426319,5.0
2024-08-19 13:15:43.842129,6.0
2024-08-19 13:15:52.682658,6.5
2024-08-19 13:16:01.640865,7.0
2024-08-19 13:16:09.988433,7.0
2024-08-19 13:16:19.628540,8.0
