,fatigue
2024-08-16 16:37:53.466462,0.0
2024-08-16 16:38:03.981329,0.5
2024-08-16 16:38:12.925872,1.5
2024-08-16 16:38:21.889181,3.0
2024-08-16 16:38:31.586140,3.0
2024-08-16 16:38:41.069328,3.0
2024-08-16 16:38:50.182949,3.5
2024-08-16 16:38:59.085279,3.5
2024-08-16 16:39:06.992042,4.0
2024-08-16 16:39:16.649024,4.5
2024-08-16 16:39:25.467240,5.0
2024-08-16 16:39:34.210343,5.0
2024-08-16 16:39:44.291484,5.0
2024-08-16 16:39:53.250863,5.5
2024-08-16 16:40:02.363487,6.0
2024-08-16 16:40:11.039461,6.0
2024-08-16 16:40:19.620396,6.5
2024-08-16 16:40:28.207699,7.0
2024-08-16 16:40:36.300817,8.0
2024-08-16 16:40:44.202728,9.0
2024-08-16 16:40:54.009738,9.5
2024-08-16 16:41:02.695108,10.0
