,fatigue
2024-08-09 15:46:46.288168,0.0
2024-08-09 15:46:54.570380,1.0
2024-08-09 15:47:01.829293,2.0
2024-08-09 15:47:09.634004,2.5
2024-08-09 15:47:17.644935,3.5
2024-08-09 15:47:24.935898,4.5
2024-08-09 15:47:32.196779,5.5
2024-08-09 15:47:39.339044,7.0
2024-08-09 15:47:47.114352,7.5
2024-08-09 15:47:53.634174,8.5
2024-08-09 15:48:01.486540,8.0
2024-08-09 15:48:08.881014,8.5
2024-08-09 15:48:15.697790,8.5
2024-08-09 15:48:22.442020,9.0
2024-08-09 15:48:27.177369,9.5
2024-08-09 15:48:30.852566,9.5
2024-08-09 15:48:38.351879,10.0
