,fatigue
2024-06-20 14:24:38.809203,0.0
2024-06-20 14:24:53.295831,0.5
2024-06-20 14:25:08.360287,1.0
2024-06-20 14:25:21.953266,2.5
2024-06-20 14:25:35.309869,3.0
2024-06-20 14:25:49.124584,4.0
2024-06-20 14:26:03.011360,4.5
2024-06-20 14:26:16.355674,5.0
2024-06-20 14:26:29.305067,6.0
2024-06-20 14:26:42.754030,7.0
2024-06-20 14:26:56.932520,8.0
2024-06-20 14:27:10.411653,9.0
2024-06-20 14:27:23.739151,9.5
2024-06-20 14:27:37.016072,9.5
2024-06-20 14:27:49.609624,9.5
2024-06-20 14:28:02.910781,9.5
2024-06-20 14:28:15.673374,9.5
2024-06-20 14:28:28.841570,9.5
2024-06-20 14:28:41.760043,9.5
2024-06-20 14:28:55.048985,9.5
2024-06-20 14:29:06.241840,10.0
