,fatigue
2024-08-16 16:54:50.305898,0.0
2024-08-16 16:54:59.672753,0.5
2024-08-16 16:55:07.834322,1.0
2024-08-16 16:55:16.128246,1.5
2024-08-16 16:55:25.103347,2.0
2024-08-16 16:55:33.839316,2.5
2024-08-16 16:55:42.501099,3.0
2024-08-16 16:55:51.106696,3.5
2024-08-16 16:55:59.542547,4.0
2024-08-16 16:56:07.707063,4.5
2024-08-16 16:56:15.918633,5.0
2024-08-16 16:56:23.483503,5.5
2024-08-16 16:56:31.817953,6.5
2024-08-16 16:56:40.290555,7.5
2024-08-16 16:56:49.091913,8.5
2024-08-16 16:56:57.843324,10.0
