,fatigue
2024-08-16 17:13:26.645471,0.0
2024-08-16 17:13:35.149264,1.0
2024-08-16 17:13:44.241651,1.5
2024-08-16 17:13:54.015541,2.0
2024-08-16 17:14:02.963042,3.0
2024-08-16 17:14:12.085836,3.0
2024-08-16 17:14:22.539946,3.5
2024-08-16 17:14:30.555184,4.0
2024-08-16 17:14:38.484806,4.0
2024-08-16 17:14:46.960178,4.0
2024-08-16 17:14:55.410411,5.0
2024-08-16 17:15:03.990664,6.0
2024-08-16 17:15:12.340565,7.5
2024-08-16 17:15:21.852075,8.5
2024-08-16 17:15:31.333842,9.5
2024-08-16 17:15:41.572036,9.5
2024-08-16 17:15:48.309649,10.0
