,fatigue
2024-08-19 12:47:56.241906,0.0
2024-08-19 12:48:20.554131,0.5
2024-08-19 12:48:30.630689,2.0
2024-08-19 12:48:41.987908,2.0
2024-08-19 12:48:53.884428,3.0
2024-08-19 12:49:04.578135,4.0
2024-08-19 12:49:13.618477,4.0
2024-08-19 12:49:22.806406,5.0
2024-08-19 12:49:32.815424,5.5
2024-08-19 12:49:41.928149,6.0
2024-08-19 12:49:51.262775,6.5
2024-08-19 12:50:00.231708,7.0
2024-08-19 12:50:08.992555,8.0
2024-08-19 12:50:17.164596,8.5
2024-08-19 12:50:24.939127,9.0
2024-08-19 12:50:31.668351,9.5
