,fatigue
2024-08-16 16:42:56.956170,0.0
2024-08-16 16:43:05.753828,0.5
2024-08-16 16:43:13.927627,1.0
2024-08-16 16:43:22.610788,1.0
2024-08-16 16:43:31.090457,1.5
2024-08-16 16:43:39.325082,2.0
2024-08-16 16:43:48.049441,2.5
2024-08-16 16:43:55.879405,2.5
2024-08-16 16:44:04.617236,2.5
2024-08-16 16:44:12.715173,3.0
2024-08-16 16:44:21.103470,3.5
2024-08-16 16:44:29.742963,4.0
2024-08-16 16:44:39.265330,4.0
2024-08-16 16:44:47.459781,4.5
2024-08-16 16:44:55.092981,5.0
2024-08-16 16:45:02.853574,6.0
2024-08-16 16:45:10.496418,7.5
2024-08-16 16:45:18.396217,8.5
2024-08-16 16:45:23.917392,9.5
