,fatigue
2024-06-20 11:24:49.489533,0.0
2024-06-20 11:25:01.308151,0.0
2024-06-20 11:25:16.182738,1.0
2024-06-20 11:25:30.348017,1.5
2024-06-20 11:25:43.310556,2.0
2024-06-20 11:25:56.174936,2.5
2024-06-20 11:26:08.290235,3.0
2024-06-20 11:26:23.394198,3.5
2024-06-20 11:26:35.738215,5.0
2024-06-20 11:26:48.281299,5.5
2024-06-20 11:27:00.880958,6.5
2024-06-20 11:27:12.462704,7.5
2024-06-20 11:27:24.968232,8.5
2024-06-20 11:27:37.271574,9.0
2024-06-20 11:27:49.849452,9.5
2024-06-20 11:28:04.969257,9.5
2024-06-20 11:28:18.297324,9.5
2024-06-20 11:28:31.630269,9.5
2024-06-20 11:28:44.758016,9.5
2024-06-20 11:28:59.567043,9.5
2024-06-20 11:29:13.827971,9.5
2024-06-20 11:29:30.058283,9.5
2024-06-20 11:29:54.207629,10.0
