,fatigue
2024-06-21 14:24:54.966253,0.0
2024-06-21 14:25:08.097594,1.0
2024-06-21 14:25:25.050601,1.0
2024-06-21 14:25:38.471841,1.5
2024-06-21 14:25:51.383916,3.0
2024-06-21 14:26:03.624038,4.0
2024-06-21 14:26:16.349196,5.0
2024-06-21 14:26:30.128417,5.5
2024-06-21 14:26:41.740720,7.0
2024-06-21 14:26:55.015970,8.0
2024-06-21 14:27:08.937764,9.0
2024-06-21 14:27:24.318624,9.0
2024-06-21 14:27:38.666570,9.5
2024-06-21 14:27:49.926586,9.5
2024-06-21 14:28:00.581120,9.5
2024-06-21 14:28:11.299122,9.5
2024-06-21 14:28:21.954881,9.5
2024-06-21 14:28:33.358885,9.5
2024-06-21 14:28:56.588648,9.5
2024-06-21 14:29:08.768691,9.5
2024-06-21 14:29:19.838421,9.5
2024-06-21 14:29:30.701124,9.5
2024-06-21 14:29:47.467088,9.5
2024-06-21 14:29:56.589352,10.0
