,fatigue
2024-08-19 13:00:46.470825,0.0
2024-08-19 13:01:02.647836,2.0
2024-08-19 13:01:11.686596,2.0
2024-08-19 13:01:22.202048,2.5
2024-08-19 13:01:33.856673,2.5
2024-08-19 13:01:46.350894,3.0
2024-08-19 13:01:56.277916,3.0
2024-08-19 13:02:05.744110,3.0
2024-08-19 13:02:18.353643,3.5
2024-08-19 13:02:27.977715,3.5
2024-08-19 13:02:38.117861,4.0
2024-08-19 13:02:47.870652,4.0
2024-08-19 13:02:58.009911,4.5
2024-08-19 13:03:08.848660,5.0
2024-08-19 13:03:18.765737,5.0
2024-08-19 13:03:28.825750,5.5
2024-08-19 13:03:37.908610,5.5
2024-08-19 13:03:47.266789,5.5
2024-08-19 13:03:58.130417,5.5
2024-08-19 13:04:06.240904,6.0
2024-08-19 13:04:16.025669,6.5
2024-08-19 13:04:24.538765,6.5
2024-08-19 13:04:33.855178,7.0
2024-08-19 13:04:44.742510,7.0
2024-08-19 13:04:55.626117,7.5
2024-08-19 13:05:06.891177,7.5
2024-08-19 13:05:15.690481,7.5
2024-08-19 13:05:26.865650,8.0
2024-08-19 13:05:35.454225,8.0
2024-08-19 13:05:44.722482,8.0
2024-08-19 13:05:54.200252,8.5
2024-08-19 13:06:03.758854,8.5
2024-08-19 13:06:12.770275,8.5
2024-08-19 13:06:20.751934,9.0
