,fatigue
2024-08-16 17:56:38.791268,0.0
2024-08-16 17:56:47.062364,0.5
2024-08-16 17:56:55.148479,0.5
2024-08-16 17:57:03.058340,1.0
2024-08-16 17:57:10.991872,2.0
2024-08-16 17:57:19.032326,1.5
2024-08-16 17:57:26.877289,2.0
2024-08-16 17:57:34.803189,2.0
2024-08-16 17:57:43.039461,2.0
2024-08-16 17:57:51.953605,2.5
2024-08-16 17:57:59.714543,2.5
2024-08-16 17:58:07.179339,2.5
2024-08-16 17:58:14.941718,3.0
2024-08-16 17:58:23.179149,3.5
2024-08-16 17:58:30.639459,3.5
2024-08-16 17:58:37.943037,4.0
2024-08-16 17:58:46.245058,4.0
2024-08-16 17:58:54.998700,4.5
2024-08-16 17:59:03.549624,5.0
2024-08-16 17:59:11.264281,5.0
2024-08-16 17:59:19.990421,5.0
2024-08-16 17:59:27.223024,6.0
2024-08-16 17:59:34.772290,6.5
2024-08-16 17:59:43.294576,7.0
2024-08-16 17:59:51.084035,7.0
2024-08-16 17:59:59.213052,7.0
2024-08-16 18:00:07.611804,7.5
2024-08-16 18:00:17.079500,8.0
2024-08-16 18:00:26.215403,8.5
2024-08-16 18:00:33.699173,9.0
2024-08-16 18:00:44.937927,9.5
2024-08-16 18:00:53.768812,9.5
