,fatigue
2024-08-16 16:50:32.085867,0.0
2024-08-16 16:50:43.711947,0.5
2024-08-16 16:50:53.499661,1.0
2024-08-16 16:51:05.335894,1.5
2024-08-16 16:51:14.954257,2.0
2024-08-16 16:51:24.426217,2.5
2024-08-16 16:51:40.814765,3.0
2024-08-16 16:51:49.962542,4.0
2024-08-16 16:52:01.222894,4.5
2024-08-16 16:52:11.879023,5.0
2024-08-16 16:52:21.380227,5.5
2024-08-16 16:52:33.208969,6.0
2024-08-16 16:52:44.135895,7.0
2024-08-16 16:52:53.247803,8.0
2024-08-16 16:53:02.968456,9.0
2024-08-16 16:53:12.069300,9.5
2024-08-16 16:53:21.318939,9.5
2024-08-16 16:53:29.075375,10.0
