,fatigue
2024-08-19 12:43:46.692110,0.0
2024-08-19 12:43:57.857438,0.5
2024-08-19 12:44:07.752905,1.0
2024-08-19 12:44:18.434967,1.0
2024-08-19 12:44:27.755241,2.0
2024-08-19 12:44:38.663469,2.5
2024-08-19 12:44:49.669703,3.0
2024-08-19 12:44:59.323470,3.0
2024-08-19 12:45:10.678326,4.0
2024-08-19 12:45:20.424927,4.0
2024-08-19 12:45:30.141130,5.0
2024-08-19 12:45:38.959043,5.0
2024-08-19 12:45:47.581451,6.0
2024-08-19 12:46:00.571104,6.0
2024-08-19 12:46:10.086803,7.0
2024-08-19 12:46:20.029588,8.0
2024-08-19 12:46:31.361567,8.5
2024-08-19 12:46:40.661432,9.0
2024-08-19 12:46:49.637243,9.5
