,fatigue
2024-08-19 15:32:54.009619,0.0
2024-08-19 15:33:03.467876,0.5
2024-08-19 15:33:14.628135,1.0
2024-08-19 15:33:25.642938,1.0
2024-08-19 15:33:38.211675,2.0
2024-08-19 15:33:48.618600,2.0
2024-08-19 15:34:04.550868,2.5
2024-08-19 15:34:21.785389,3.0
2024-08-19 15:34:38.464812,3.0
2024-08-19 15:34:58.020472,3.5
2024-08-19 15:35:25.194407,3.5
2024-08-19 15:35:46.557277,4.0
2024-08-19 15:35:56.138720,4.0
2024-08-19 15:36:11.783718,4.5
2024-08-19 15:36:30.697654,5.0
2024-08-19 15:36:50.849551,5.5
2024-08-19 15:37:04.054331,6.0
2024-08-19 15:37:16.879590,6.0
2024-08-19 15:37:27.893020,6.0
2024-08-19 15:37:41.901630,6.5
2024-08-19 15:38:00.954390,6.5
2024-08-19 15:38:16.907343,7.0
