,fatigue
2024-06-21 14:34:18.555273,0.0
2024-06-21 14:34:32.140488,0.0
2024-06-21 14:34:45.854965,1.0
2024-06-21 14:35:00.203184,1.5
2024-06-21 14:35:12.993360,2.0
2024-06-21 14:35:25.701007,3.0
2024-06-21 14:35:38.611623,4.0
2024-06-21 14:35:52.072203,5.0
2024-06-21 14:36:05.786303,6.0
2024-06-21 14:36:19.639822,6.0
2024-06-21 14:36:32.609537,7.0
2024-06-21 14:36:46.573198,7.5
2024-06-21 14:37:00.909422,8.0
2024-06-21 14:37:14.977258,8.5
2024-06-21 14:37:32.211888,9.0
2024-06-21 14:37:48.062268,8.5
2024-06-21 14:38:01.958187,9.0
2024-06-21 14:38:14.824571,9.0
2024-06-21 14:38:28.090112,9.0
2024-06-21 14:38:40.521107,9.5
2024-06-21 14:38:52.492343,9.5
2024-06-21 14:39:03.667622,9.5
2024-06-21 14:39:14.120919,9.5
2024-06-21 14:39:25.276938,9.5
2024-06-21 14:39:38.213271,9.5
2024-06-21 14:39:57.457299,9.5
2024-06-21 14:40:30.681063,9.5
2024-06-21 14:41:35.325038,10.0
