,fatigue
2024-08-19 11:19:39.068492,0.0
2024-08-19 11:19:47.684249,1.0
2024-08-19 11:19:56.680975,1.5
2024-08-19 11:20:05.109873,2.0
2024-08-19 11:20:13.417399,2.5
2024-08-19 11:20:22.890162,3.0
2024-08-19 11:20:31.856343,4.0
2024-08-19 11:20:40.870007,4.5
2024-08-19 11:20:51.018802,5.0
2024-08-19 11:21:00.691560,6.0
2024-08-19 11:21:12.734539,6.5
2024-08-19 11:21:21.414713,7.0
2024-08-19 11:21:30.332383,7.5
2024-08-19 11:21:39.353506,8.0
2024-08-19 11:21:47.770213,8.5
2024-08-19 11:21:56.482186,9.0
