,fatigue
2024-08-16 17:20:26.811951,0.0
2024-08-16 17:20:36.770985,1.0
2024-08-16 17:20:46.194099,2.0
2024-08-16 17:20:55.117884,2.0
2024-08-16 17:21:03.446996,3.0
2024-08-16 17:21:11.482001,3.0
2024-08-16 17:21:19.044838,4.0
2024-08-16 17:21:27.126323,5.0
2024-08-16 17:21:35.816071,5.5
2024-08-16 17:21:45.256133,6.0
2024-08-16 17:21:53.741972,6.0
2024-08-16 17:22:02.790119,6.5
2024-08-16 17:22:12.948150,6.5
2024-08-16 17:22:22.812420,6.5
2024-08-16 17:22:31.308625,7.0
2024-08-16 17:22:40.234814,7.5
2024-08-16 17:22:49.270936,7.5
2024-08-16 17:22:58.155203,8.0
2024-08-16 17:23:06.173955,8.5
2024-08-16 17:23:13.972880,9.0
2024-08-16 17:23:22.374441,9.5
2024-08-16 17:23:30.966937,9.5
2024-08-16 17:23:40.676940,9.5
2024-08-16 17:23:49.272508,9.5
2024-08-16 17:23:57.658306,9.5
2024-08-16 17:24:06.931767,9.5
2024-08-16 17:24:15.460218,9.5
2024-08-16 17:24:23.312222,9.5
2024-08-16 17:24:33.351484,9.5
2024-08-16 17:24:39.396461,9.5
2024-08-16 17:24:47.149391,9.5
2024-08-16 17:24:53.506152,9.5
2024-08-16 17:24:59.558685,9.5
2024-08-16 17:25:06.310753,9.5
2024-08-16 17:25:12.755778,9.5
2024-08-16 17:25:18.050230,8.0
2024-08-16 17:25:25.881694,8.0
2024-08-16 17:25:33.921982,8.0
2024-08-16 17:25:42.735680,8.0
2024-08-16 17:25:51.174399,8.0
2024-08-16 17:25:59.568170,8.5
2024-08-16 17:26:14.941761,8.5
2024-08-16 17:26:22.474038,9.0
2024-08-16 17:26:30.792292,9.5
2024-08-16 17:26:39.322039,9.5
2024-08-16 17:26:49.047633,9.5
2024-08-16 17:26:56.723902,9.5
2024-08-16 17:27:09.048518,9.5
2024-08-16 17:27:18.886580,9.5
2024-08-16 17:27:30.400129,9.0
2024-08-16 17:27:39.725505,9.0
2024-08-16 17:27:48.139306,9.0
2024-08-16 17:27:58.301504,9.5
2024-08-16 17:28:08.038730,8.0
2024-08-16 17:28:16.650910,8.5
2024-08-16 17:28:24.666106,8.5
2024-08-16 17:28:39.385847,9.0
2024-08-16 17:28:50.209176,9.5
2024-08-16 17:28:59.172138,9.5
2024-08-16 17:29:08.221151,9.5
2024-08-16 17:29:17.277851,9.5
2024-08-16 17:29:26.414084,9.5
2024-08-16 17:29:34.424427,9.5
2024-08-16 17:29:43.519661,9.0
2024-08-16 17:29:56.028312,9.5
2024-08-16 17:30:00.824806,9.0
2024-08-16 17:30:06.717076,9.5
2024-08-16 17:30:15.321328,9.5
2024-08-16 17:30:24.161792,9.5
