,fatigue
2024-08-20 13:20:40.275097,0.0
2024-08-20 13:20:49.351193,1.0
2024-08-20 13:20:59.146196,1.5
2024-08-20 13:21:11.566869,2.0
2024-08-20 13:21:22.297521,2.0
2024-08-20 13:21:33.787279,2.0
2024-08-20 13:21:43.982442,2.5
2024-08-20 13:21:54.761160,3.0
2024-08-20 13:22:06.125802,3.0
2024-08-20 13:22:16.618832,3.5
2024-08-20 13:22:28.077008,4.0
2024-08-20 13:22:36.877190,4.0
2024-08-20 13:22:46.878838,4.5
2024-08-20 13:22:56.182167,5.0
2024-08-20 13:23:05.107636,5.5
2024-08-20 13:23:18.028400,6.0
2024-08-20 13:23:29.619487,6.5
2024-08-20 13:23:40.287379,7.0
2024-08-20 13:23:49.812135,7.5
2024-08-20 13:24:00.488460,8.0
