,fatigue
2024-08-19 11:12:53.040353,0.0
2024-08-19 11:13:02.287664,2.0
2024-08-19 11:13:10.843938,3.0
2024-08-19 11:13:19.862072,4.0
2024-08-19 11:13:29.383086,4.0
2024-08-19 11:13:37.921046,5.0
2024-08-19 11:13:46.322922,5.0
2024-08-19 11:13:54.815496,6.0
2024-08-19 11:14:03.739372,7.0
2024-08-19 11:14:13.196582,7.0
2024-08-19 11:14:21.696593,8.0
2024-08-19 11:14:30.307181,8.0
2024-08-19 11:14:38.907924,8.5
2024-08-19 11:14:47.549194,9.0
2024-08-19 11:14:55.919849,9.0
2024-08-19 11:15:04.322890,9.5
2024-08-19 11:15:13.122440,9.5
2024-08-19 11:15:21.924924,9.5
