,fatigue
2024-08-09 15:27:14.073830,0.0
2024-08-09 15:27:22.122113,2.0
2024-08-09 15:27:30.496082,3.0
2024-08-09 15:27:37.857369,3.5
2024-08-09 15:27:45.942202,4.0
2024-08-09 15:27:53.564764,4.5
2024-08-09 15:28:01.543467,5.0
2024-08-09 15:28:09.863239,5.5
2024-08-09 15:28:18.180262,6.5
2024-08-09 15:28:26.135784,7.5
2024-08-09 15:28:34.050579,8.0
2024-08-09 15:28:42.490248,8.0
2024-08-09 15:28:50.827243,8.5
2024-08-09 15:29:01.738641,9.0
2024-08-09 15:29:09.935976,9.0
2024-08-09 15:29:17.888215,9.5
2024-08-09 15:29:26.225513,9.5
2024-08-09 15:29:34.648583,10.0
