,fatigue
2024-08-19 17:45:33.741010,0.0
2024-08-19 17:45:48.659166,1.0
2024-08-19 17:46:02.466659,1.0
2024-08-19 17:46:13.254883,2.0
2024-08-19 17:46:24.164589,2.5
2024-08-19 17:46:38.865279,3.0
2024-08-19 17:46:52.151027,3.0
2024-08-19 17:47:04.796708,3.5
2024-08-19 17:47:16.527129,4.0
2024-08-19 17:47:27.706742,4.0
2024-08-19 17:47:39.911069,5.0
2024-08-19 17:47:51.713367,5.5
2024-08-19 17:48:01.801824,6.0
2024-08-19 17:48:12.084086,6.5
2024-08-19 17:48:22.767032,7.5
2024-08-19 17:48:33.832414,8.5
2024-08-19 17:48:43.129950,9.0
2024-08-19 17:48:52.891131,9.5
2024-08-19 17:49:04.308818,10.0
