,fatigue
2024-08-20 13:14:33.298868,0.0
2024-08-20 13:14:46.525536,2.0
2024-08-20 13:14:59.101155,2.0
2024-08-20 13:15:09.991775,2.0
2024-08-20 13:15:20.079789,2.0
2024-08-20 13:15:30.584445,2.5
2024-08-20 13:15:42.646274,2.5
2024-08-20 13:15:55.019817,3.0
2024-08-20 13:16:08.297582,3.0
2024-08-20 13:16:18.743425,3.5
2024-08-20 13:16:30.540328,3.5
2024-08-20 13:16:41.609939,4.0
2024-08-20 13:16:53.056580,4.0
2024-08-20 13:17:02.871396,5.0
2024-08-20 13:17:14.560187,5.0
2024-08-20 13:17:28.359234,5.5
2024-08-20 13:17:37.511455,5.5
2024-08-20 13:17:51.572442,6.0
2024-08-20 13:18:01.034541,6.0
2024-08-20 13:18:11.325535,6.0
2024-08-20 13:18:21.772224,6.5
2024-08-20 13:18:30.966022,6.5
2024-08-20 13:18:43.815216,7.0
2024-08-20 13:18:55.411015,7.5
2024-08-20 13:19:09.984764,8.0
